time,pdcsap_flux,diff_flux,scaled_diff_flux,is_flare
1517.9612413709483,2510.4983,3.2182999999999993,0.3453423858967847,False
1517.962630264843,2511.0049,0.5065999999997075,0.3414411150812306,False
1517.9640191587368,2496.5752,-14.429699999999684,0.31995254655139643,False
1517.9654080526302,2494.563,-2.012200000000121,0.33781736579841326,False
1517.9667969465231,2495.2793,0.7163000000000466,0.3417428064519659,False
1517.9681858404178,2485.9871,-9.29220000000032,0.3273437693322735,False
1517.9695747343126,2513.0076,27.020500000000084,0.3795861548262278,False
1517.9709636282057,2499.2778,-13.729800000000068,0.3209594792665952,False
1517.9723525220998,2500.895,1.617200000000139,0.3430389140146508,False
1517.973741415994,2485.9568,-14.938200000000052,0.3192209773476827,False
1517.9751303098878,2477.7437,-8.21309999999994,0.3288962498194459,False
1517.9765192037812,2497.7385,19.99479999999994,0.3694784148959864,False
